Active Ingredient,SMILES
ELETRIPTAN HYDROBROMIDE,[Br-].CN1CCC[C@@H]1Cc2c[nH]c3ccc(CC[S](=O)(=O)c4ccccc4)cc23.[H+]
OXANDROLONE,C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)OC[C@]4(C)[C@H]3CC[C@]12C
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,[H+].[Cl-].COc1c(C)c2COC(=O)c2c(O)c1C\C=C(C)\CCC(=O)OCCN3CCOCC3
PROTIRELIN,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2[nH]cnc2)NC(=O)[C@@H]3CCC(=O)N3
ANILERIDINE HYDROCHLORIDE,[H+].[H+].[Cl-].[Cl-].CCOC(=O)C1(CCN(CCc2ccc(N)cc2)CC1)c3ccccc3
LISINOPRIL,O.O.NCCCC[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N2CCC[C@H]2C(O)=O
METHOTREXATE,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O
CEFUROXIME,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(N)=O)/c3occc3
ALOGLIPTIN BENZOATE,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(Cc3ccccc3C#N)C1=O.OC(=O)c4ccccc4
VERAPAMIL HYDROCHLORIDE,[H+].[Cl-].COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
GUANADREL SULFATE,NC(N)=NCC1COC2(CCCCC2)O1.NC(N)=NCC3COC4(CCCCC4)O3.O[S](O)(=O)=O
CILASTATIN SODIUM,[Na+].CC1(C)C[C@@H]1C(=O)NC(=C\CCCCSC[C@@H](N)C(O)=O)/C([O-])=O
RALTEGRAVIR,CN1C(=O)C(=O)\C(N=C1C(C)(C)NC(=O)c2oc(C)nn2)=C(\O)NCc3ccc(F)cc3
NEFAZODONE HYDROCHLORIDE,[H+].[Cl-].CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4
GADOTERIDOL,[Gd+3].CC(O)CN1CCN(CCN(CCN(CC1)CC([O-])=O)CC([O-])=O)CC([O-])=O
CLEMASTINE FUMARATE,CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3.OC(=O)\C=C\C(O)=O
PEMETREXED,NC1=NC(=O)c2c(CCc3ccc(cc3)C(=O)N[C@H](CCC(O)=O)C(O)=O)c[nH]c2N1
PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CEFAZOLIN SODIUM,[Na+].Cc1sc(SCC2=C(N3C(SC2)C(NC(=O)Cn4cnnn4)C3=O)C([O-])=O)nn1
TOPIRAMATE,CC1(C)O[C@@H]2CO[C@@]3(CO[S](N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
OLSALAZINE SODIUM,[Na+].[Na+].Oc1ccc(N\N=C/2C=CC(=O)C(=C2)C([O-])=O)cc1C([O-])=O
PYRETHRINS,CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(=C2C)C\C=C\C=C)C1(C)C
MESORIDAZINE BESYLATE,CN1CCCCC1CCN2c3ccccc3Sc4ccc(cc24)[S](C)=O.O[S](=O)(=O)c5ccccc5
LUBIPROSTONE,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@H]2CCCCCCC(O)=O)O1
FOLIC ACID,NC1=Nc2ncc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)nc2C(=O)N1
DIFENOXIN HYDROCHLORIDE,[Cl-].OC(=O)C1(CC[NH+](CC1)CCC(C#N)(c2ccccc2)c3ccccc3)c4ccccc4
FLUORESCEIN SODIUM,[Na+].[Na+].[O-]C(=O)c1ccccc1C2=C3C=CC(=O)C=C3Oc4cc([O-])ccc24
ALMOTRIPTAN MALATE,CN(C)CCc1c[nH]c2ccc(C[S](=O)(=O)N3CCCC3)cc12.OC(CC(O)=O)C(O)=O
LEVOMETHADYL ACETATE HYDROCHLORIDE,[Cl-].CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2.[H+]
INDOMETHACIN SODIUM,O.O.O.[Na+].COc1ccc2n(c(C)c(CC([O-])=O)c2c1)C(=O)c3ccc(Cl)cc3
BAZEDOXIFENE ACETATE,CC(O)=O.Cc1c2cc(O)ccc2n(Cc3ccc(OCCN4CCCCCC4)cc3)c1c5ccc(O)cc5
IOTHALAMATE MEGLUMINE,CNCC(O)C(O)C(O)C(O)CO.CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I
CAPECITABINE,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]2O[C@H](C)[C@@H](O)[C@H]2O
TAMSULOSIN HYDROCHLORIDE,[Cl-].CCOc1ccccc1OCCN[C@H](C)Cc2ccc(OC)c(c2)[S](N)(=O)=O.[H+]
IOHEXOL,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
ADEFOVIR DIPIVOXIL,CC(C)(C)C(=O)OCO[P](=O)(COCCn1cnc2c(N)ncnc12)OCOC(=O)C(C)(C)C
LEVOTHYROXINE SODIUM,O.[Na+].N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C([O-])=O
NIMODIPINE,COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+]([O-])=O)C(=O)OC(C)C)C
ABIRATERONE ACETATE,CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@@]4(C)C(CC=C4c5cccnc5)C3CC=C2C1
EXEMESTANE,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
ASENAPINE MALEATE,CN1C[C@@H]2[C@@H](C1)c3cc(Cl)ccc3Oc4ccccc24.OC(=O)\C=C/C(O)=O
OXICONAZOLE NITRATE,O[N+]([O-])=O.Clc1ccc(CO\N=C(/Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
NALTREXONE,Oc1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O)CC6CC6
VITAMIN A PALMITATE,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
LUMEFANTRINE,CCCCN(CCCC)CC(O)c1cc(Cl)cc2\C(=C\c3ccc(Cl)cc3)c4cc(Cl)ccc4c12
PERGOLIDE MESYLATE,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34.C[S](O)(=O)=O
PRASTERONE,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O
TERAZOSIN HYDROCHLORIDE,[H+].O.O.[Cl-].COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4CCCO4
NORETHYNODREL,C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@@H]1CC[C@@]2(O)C#C
HYDROCORTISONE VALERATE,CCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C)C(=O)CO
VALSARTAN,CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3n[nH]nn3)[C@@H](C(C)C)C(O)=O
CEPHRADINE,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C2=O)C(O)=O
DEXTROTHYROXINE SODIUM,O.[Na+].N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C([O-])=O
GREPAFLOXACIN HYDROCHLORIDE,[H+].[Cl-].CC1CN(CCN1)c2cc3N(C=C(C(O)=O)C(=O)c3c(C)c2F)C4CC4
METHYLTESTOSTERONE,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CEPHALEXIN,O.CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(O)=O
TELMISARTAN,CCCc1nc2c(C)cc(cc2n1Cc3ccc(cc3)c4ccccc4C(O)=O)c5nc6ccccc6n5C
GEMCITABINE HYDROCHLORIDE,[Cl-].NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F.[H+]
ALFENTANIL HYDROCHLORIDE,[H+].[Cl-].CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c3ccccc3)C1=O
TOLVAPTAN,Cc1ccccc1C(=O)Nc2ccc(c(C)c2)C(=O)N3CCC[C@@H](O)c4cc(Cl)ccc34
TADALAFIL,CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c5ccc6OCOc6c5)C1=O
SALMETEROL XINAFOATE,OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc2ccccc2.OC(=O)c3ccc4ccccc4c3O
MESTRANOL,COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1
SOLIFENACIN SUCCINATE,OC(=O)CCC(O)=O.O=C(OC1CN2CCC1CC2)N3CCc4ccccc4[C@@H]3c5ccccc5
TESTOLACTONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CCC(=O)O2
FLUPHENAZINE DECANOATE,CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
CEFDINIR,Nc1scc(n1)\C(=N\O)C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)C=C
SERTACONAZOLE NITRATE,O[N+]([O-])=O.Clc1ccc(C(Cn2ccnc2)OCc3csc4c(Cl)cccc34)c(Cl)c1
DINOPROSTONE,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
MARIBAVIR,CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]3O[C@@H](CO)[C@H](O)[C@@H]3O
TESTOSTERONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
PAMIDRONATE DISODIUM,O.O.O.O.O.[Na+].[Na+].NCCC(O)([P](O)([O-])=O)[P](O)([O-])=O
APIXABAN,COc1ccc(cc1)n2nc(C(N)=O)c3CCN(C(=O)c23)c4ccc(cc4)N5CCCCC5=O
VALGANCICLOVIR HYDROCHLORIDE,[Cl-].CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2C(=O)N=C(N)Nc12.[H+]
PERFLUBRON,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
LOMEFLOXACIN HYDROCHLORIDE,[H+].[Cl-].CCN1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12
SCOPOLAMINE,CN1[C@@H]2CC(C[C@H]1[C@@H]3O[C@H]23)OC(=O)[C@H](CO)c4ccccc4
BENZTROPINE MESYLATE,CN1[C@@H]2CC[C@@H]1CC(C2)OC(c3ccccc3)c4ccccc4.C[S](O)(=O)=O
TAZOBACTAM SODIUM,[Na+].C[C@]1(Cn2ccnn2)[C@@H](N3C(CC3=O)[S]1(=O)=O)C([O-])=O
ENALAPRILAT,O.O.C[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N2CCC[C@H]2C(O)=O
DIETHYLSTILBESTROL DIPHOSPHATE,CC\C(=C(CC)/c1ccc(O)cc1)c2ccc(O)cc2.O[P](O)(=O)O[P](O)(O)=O
ESTRADIOL VALERATE,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C
CHLOROQUINE PHOSPHATE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O[P](O)(O)=O.O[P](O)(O)=O
BICALUTAMIDE,CC(O)(C[S](=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F
PROPOXYPHENE HYDROCHLORIDE,[Cl-].CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2.[H+]
PHENDIMETRAZINE TARTRATE,C[C@H]1[C@@H](OCCN1C)c2ccccc2.O[C@H]([C@@H](O)C(O)=O)C(O)=O
AMIODARONE HYDROCHLORIDE,[H+].[Cl-].CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3
ELVITEGRAVIR,COc1cc2N(C=C(C(O)=O)C(=O)c2cc1Cc3cccc(Cl)c3F)[C@H](CO)C(C)C
CLEVIDIPINE,CCCC(=O)OCOC(=O)C1=C(C)NC(=C([C@H]1c2cccc(Cl)c2Cl)C(=O)OC)C
CEFACLOR,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)Cl)c3ccccc3
ACAMPROSATE CALCIUM,[Ca++].CC(=O)NCCC[S]([O-])(=O)=O.CC(=O)NCCC[S]([O-])(=O)=O
THONZONIUM BROMIDE,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c2ncccn2
PAROXETINE MESYLATE,C[S](O)(=O)=O.C1C[C@H]([C@@H](CN1)COc2ccc3OCOc3c2)c4ccccc4
ETHINYL ESTRADIOL,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C
GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3
ISOSORBIDE DINITRATE,[O-][N+](=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+]([O-])=O
DIPIVEFRIN HYDROCHLORIDE,[H+].[Cl-].CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1
AMINOPHYLLINE,CN1C(=O)N(C)c2nc[nH]c2C1=O.CN3C(=O)N(C)c4nc[nH]c4C3=O.NCCN
HALOPERIDOL DECANOATE,CCCCCCCCCC(=O)OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
IOVERSOL,OCCN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
DIMENHYDRINATE,CN(C)CCOC(c1ccccc1)c2ccccc2.CN3C(=O)N(C)c4nc(Cl)[nH]c4C3=O
SILODOSIN,C[C@H](Cc1cc2CCN(CCCO)c2c(c1)C(N)=O)NCCOc3ccccc3OCC(F)(F)F
GALANTAMINE HYDROBROMIDE,[Br-].COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24.[H+]
DANTROLENE SODIUM,[Na+].[O-][N+](=O)c1ccc(cc1)c2oc(cc2)\C=N\N3CC(=O)[N-]C3=O
HEXOCYCLIUM METHYLSULFATE,CO[S]([O-])(=O)=O.C[N+]1(C)CCN(CC1)CC(O)(C2CCCCC2)c3ccccc3
BENZQUINAMIDE HYDROCHLORIDE,[H+].[Cl-].CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O
BRIMONIDINE TARTRATE,O[C@H]([C@@H](O)C(O)=O)C(O)=O.Brc1c(NC2=NCCN2)ccc3nccnc13
ALPHA-TOCOPHEROL ACETATE,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(OC(C)=O)c(C)c(C)c2O1
IOPROMIDE,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(c1I)C(=O)N(C)CC(O)CO
MISOPROSTOL,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
ROSIGLITAZONE MALEATE,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3.OC(=O)\C=C/C(O)=O
IOXILAN,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I
DOLASETRON MESYLATE,C[S](O)(=O)=O.O=C1CN2C3CC(CC2CC1C3)OC(=O)c4c[nH]c5ccccc45
CYCLACILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(O)=O
CLOFAZIMINE,CC(C)N=C1C=C2N(c3ccc(Cl)cc3)c4ccccc4N=C2C=C1Nc5ccc(Cl)cc5
MICONAZOLE NITRATE,O[N+]([O-])=O.Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
TROSPIUM CHLORIDE,[Cl-].OC(C(=O)OC1CC2CCC(C1)[N+]23CCCC3)(c4ccccc4)c5ccccc5
FLAVOXATE HYDROCHLORIDE,[H+].[Cl-].CC1=C(Oc2c(cccc2C1=O)C(=O)OCCN3CCCCC3)c4ccccc4
GENTIAN VIOLET,[Cl-].CN(C)c1ccc(cc1)[C+](c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C
THIETHYLPERAZINE MALATE,CCSc1ccc2Sc3ccccc3N(CCCN4CCN(C)CC4)c2c1.OC(CC(O)=O)C(O)=O
OXYCODONE,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O
IVABRADINE,COc1cc2CCN(CCCN(C)C[C@H]3Cc4cc(OC)c(OC)cc34)C(=O)Cc2cc1OC
REMIFENTANIL HYDROCHLORIDE,[H+].[Cl-].CCC(=O)N(c1ccccc1)C2(CCN(CCC(=O)OC)CC2)C(=O)OC
FLUPHENAZINE ENANTHATE,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
NISOLDIPINE,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+]([O-])=O)C(=O)OCC(C)C)C
ALPROSTADIL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
MORICIZINE HYDROCHLORIDE,[H+].[Cl-].CCOC(=O)Nc1ccc2Sc3ccccc3N(C(=O)CCN4CCOCC4)c2c1
ZIPRASIDONE HYDROCHLORIDE,[H+].O.[Cl-].Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45
PENICILLIN V,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(O)=O
REPAGLINIDE,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N3CCCCC3)ccc1C(O)=O
TIOTROPIUM BROMIDE,[Br-].C[N+]1(C)C2CC(CC1C3OC23)OC(=O)C(O)(c4sccc4)c5sccc5
TILUDRONATE DISODIUM,[Na+].[Na+].O[P]([O-])(=O)C(Sc1ccc(Cl)cc1)[P](O)([O-])=O
NOREPINEPHRINE BITARTRATE,O.NC[C@H](O)c1ccc(O)c(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O
LIOTHYRONINE SODIUM,[Na+].N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C([O-])=O
CIPROFLOXACIN HYDROCHLORIDE,[H+].O.[Cl-].OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O
CINACALCET HYDROCHLORIDE,[Cl-].C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c2cccc3ccccc23.[H+]
IOPAMIDOL,CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I
COLCHICINE,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(C)=O
BORTEZOMIB,CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O
PRAZOSIN HYDROCHLORIDE,[H+].[Cl-].COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4
PROCHLORPERAZINE MALEATE,CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1.OC(=O)\C=C/C(O)=O
THIOTHIXENE,CN1CCN(CC/C=C/2c3ccccc3Sc4ccc(cc24)[S](=O)(=O)N(C)C)CC1
ZIDOVUDINE,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
EPINEPHRINE BITARTRATE,CNC[C@H](O)c1ccc(O)c(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O
VALACYCLOVIR HYDROCHLORIDE,[Cl-].CC(C)[C@H](N)C(=O)OCCOCn1cnc2C(=O)N=C(N)Nc12.[H+]
DOFETILIDE,CN(CCOc1ccc(N[S](C)(=O)=O)cc1)CCc2ccc(N[S](C)(=O)=O)cc2
SULFASALAZINE,OC(=O)C1=C\C(C=CC1=O)=N/Nc2ccc(cc2)[S](=O)(=O)Nc3ccccn3
PIMOZIDE,Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5
PRASUGREL HYDROCHLORIDE,[H+].[Cl-].CC(=O)Oc1sc2CCN(Cc2c1)C(C(=O)C3CC3)c4ccccc4F
GLIPIZIDE,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3
AZELASTINE HYDROCHLORIDE,[H+].[Cl-].CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O
NARATRIPTAN HYDROCHLORIDE,[H+].[Cl-].CN[S](=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1
BENDROFLUMETHIAZIDE,N[S](=O)(=O)c1cc2c(NC(Cc3ccccc3)N[S]2(=O)=O)cc1C(F)(F)F
Zidovudine,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
DEFERASIROX,OC(=O)c1ccc(cc1)N\2N\C(NC2=C\3C=CC=CC3=O)=C/4C=CC=CC4=O
DEXTROMETHORPHAN HYDROBROMIDE,O.[Br-].COc1ccc2C[C@H]3[C@H]4CCCC[C@@]4(CCN3C)c2c1.[H+]
CAFFEINE CITRATE,Cn1cnc2N(C)C(=O)N(C)C(=O)c12.OC(=O)CC(O)(CC(O)=O)C(O)=O
MEFLOQUINE HYDROCHLORIDE,[H+].[Cl-].OC(C1CCCCN1)c2cc(nc3c2cccc3C(F)(F)F)C(F)(F)F
NABILONE,CCCCCCC(C)(C)c1cc(O)c2[C@@H]3CC(=O)CC[C@H]3C(C)(C)Oc2c1
BUSPIRONE HYDROCHLORIDE,[H+].[Cl-].O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4
DIENOGEST,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N
DASATINIB,Cc1nc(Nc2sc(cn2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4
FLECAINIDE ACETATE,CC(O)=O.FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2
STREPTOZOCIN,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
DIHYDROCODEINE BITARTRATE,COc1ccc2CC3C4CCC(O)C5Oc1c2C45CCN3C.OC(C(O)C(O)=O)C(O)=O
PHYTONADIONE,CC(C)CCCC(C)CCCC(C)CCC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O
ESCITALOPRAM OXALATE,CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c3ccc(F)cc3.OC(=O)C(O)=O
PALONOSETRON HYDROCHLORIDE,[Cl-].O=C1N(C[C@H]2CCCc3cccc1c23)[C@@H]4CN5CCC4CC5.[H+]
TAFLUPROST,CC(C)OC(=O)CCC/C=C/CC1C(O)CC(O)C1\C=C\C(F)(F)COc2ccccc2
ORPHENADRINE CITRATE,CN(C)CCOC(c1ccccc1)c2ccccc2C.OC(=O)CC(O)(CC(O)=O)C(O)=O
PERMETHRIN,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2
DISOPYRAMIDE PHOSPHATE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c2ccccn2)C(C)C.O[P](O)(O)=O
CHLOROQUINE HYDROCHLORIDE,[H+].[H+].[Cl-].[Cl-].CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
DIPHEMANIL METHYLSULFATE,CO[S]([O-])(=O)=O.C[N+]1(C)CCC(CC1)=C(c2ccccc2)c3ccccc3
LANTHANUM CARBONATE,[La+3].[La+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O
DIPHENHYDRAMINE CITRATE,CN(C)CCOC(c1ccccc1)c2ccccc2.OC(=O)CC(O)(CC(O)=O)C(O)=O
CLIDINIUM BROMIDE,[Br-].C[N+]12CCC(CC1)C(C2)OC(=O)C(O)(c3ccccc3)c4ccccc4
DESOXYCORTICOSTERONE PIVALATE,CC(C)(C)C(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
ALFUZOSIN HYDROCHLORIDE,[H+].[Cl-].COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C3CCCO3
PAROXETINE HYDROCHLORIDE,[Cl-].Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3.[H+]
PALIPERIDONE,CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCC(O)C5=N1
TRAZODONE HYDROCHLORIDE,[H+].[Cl-].Clc1cccc(c1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2
AMPICILLIN SODIUM,[Na+].CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C([O-])=O
FROVATRIPTAN SUCCINATE,O.CN[C@@H]1CCc2[nH]c3ccc(cc3c2C1)C(N)=O.OC(=O)CCC(O)=O
TRIMETHOBENZAMIDE HYDROCHLORIDE,[H+].[Cl-].COc1cc(cc(OC)c1OC)C(=O)NCc2ccc(OCCN(C)C)cc2
VARENICLINE TARTRATE,O[C@@H]([C@H](O)C(O)=O)C(O)=O.C1NCC2CC1c3cc4nccnc4cc23
AVANAFIL,COc1ccc(CNc2nc(ncc2C(=O)NCc3ncccn3)N4CCC[C@H]4CO)cc1Cl
TRIENTINE TETRAHYDROCHLORIDE,[H+].[H+].[Cl-].[H+].[Cl-].[H+].[Cl-].[Cl-].NCCNCCNCCN
POLYTHIAZIDE,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(cc2[S]1(=O)=O)[S](N)(=O)=O
DONEPEZIL HYDROCHLORIDE,[H+].[Cl-].COc1cc2CC(CC3CCN(CC3)Cc4ccccc4)C(=O)c2cc1OC
LODOXAMIDE TROMETHAMINE,NC(CO)(CO)CO.OC(=O)C(=O)Nc1cc(cc(NC(=O)C(O)=O)c1Cl)C#N
SERTRALINE HYDROCHLORIDE,[Cl-].CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13.[H+]
SAFINAMIDE MESYLATE,C[C@@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O.C[S](O)(=O)=O
CLORAZEPATE DIPOTASSIUM,[OH-].[K+].[K+].OC(=O)C1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O
